journal,issn,category_publindex,year_publindex
COMMUNICATIONS OF THE ACM,0001-0782,A1,Septiembre 2006 - Agosto 2007
AIAA JOURNAL,0001-1452,A1,Septiembre 2006 - Agosto 2007
TRANSACTIONS OF THE ASAE,0001-2351,A1,Septiembre 2006 - Agosto 2007
TISSUE ANTIGENS,0001-2815,A1,Septiembre 2006 - Agosto 2007
REVISTA DE MICROBIOLOGIA,0001-3714,A1,Septiembre 2006 - Agosto 2007
"INGENIARE, REVISTA CHILENA DE INGENIERIA",0718-3305,A1,Septiembre 2006 - Agosto 2007
TEMPO,1413-7704,A1,Septiembre 2006 - Agosto 2007
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,A1,Septiembre 2006 - Agosto 2007
ACCOUNTING REVIEW,0001-4826,A1,Septiembre 2006 - Agosto 2007
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,0001-4966,A1,Septiembre 2006 - Agosto 2007
ACTA ASTRONOMICA,0001-5237,A1,Septiembre 2006 - Agosto 2007
ACTA PHYSIOLOGICA SCANDINAVICA,0001-6772,A1,Septiembre 2006 - Agosto 2007
ACTA OTO-LARYNGOLOGICA,0001-6489,A1,Septiembre 2006 - Agosto 2007
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,A1,Septiembre 2006 - Agosto 2007
ACTA NEUROPATHOLOGICA,0001-6322,A1,Septiembre 2006 - Agosto 2007
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,A1,Septiembre 2006 - Agosto 2007
ACTA NEUROCHIRURGICA,0001-6268,A1,Septiembre 2006 - Agosto 2007
HUMAN HEREDITY,0001-5652,A1,Septiembre 2006 - Agosto 2007
ACTA DERMATO-VENEREOLOGICA,0001-5555,A1,Septiembre 2006 - Agosto 2007
ACTA CYTOLOGICA,0001-5547,A1,Septiembre 2006 - Agosto 2007
AGE AND AGEING,0002-0729,A1,Septiembre 2006 - Agosto 2007
JOURNAL OF VOCATIONAL BEHAVIOR,0001-8791,A1,Septiembre 2006 - Agosto 2007
ADVANCES IN PHYSICS,0001-8732,A1,Septiembre 2006 - Agosto 2007
ADVANCES IN MATHEMATICS,0001-8708,A1,Septiembre 2006 - Agosto 2007
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,A1,Septiembre 2006 - Agosto 2007
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,A1,Septiembre 2006 - Agosto 2007
BEHAVIOR GENETICS,0001-8244,A1,Septiembre 2006 - Agosto 2007
GENERAL RELATIVITY AND GRAVITATION,0001-7701,A1,Septiembre 2006 - Agosto 2007
ACTA TROPICA,0001-706X,A1,Septiembre 2006 - Agosto 2007
ACTA PSYCHOLOGICA,0001-6918,A1,Septiembre 2006 - Agosto 2007
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,0002-9173,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF CLINICAL NUTRITION,0002-9165,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF CARDIOLOGY,0002-9149,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF BOTANY,0002-9122,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,A1,Septiembre 2006 - Agosto 2007
AMERICAN HEART JOURNAL,0002-8703,A1,Septiembre 2006 - Agosto 2007
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,0002-8614,A1,Septiembre 2006 - Agosto 2007
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,0002-8487,A1,Septiembre 2006 - Agosto 2007
AMERICAN FAMILY PHYSICIAN,0002-838X,A1,Septiembre 2006 - Agosto 2007
AMERICAN MINERALOGIST,0003-004X,A1,Septiembre 2006 - Agosto 2007
AMERICAN MIDLAND NATURALIST,0003-0031,A1,Septiembre 2006 - Agosto 2007
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,0003-0007,A1,Septiembre 2006 - Agosto 2007
TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,0002-9947,A1,Septiembre 2006 - Agosto 2007
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,0002-9939,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF VETERINARY RESEARCH,0002-9645,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,0002-9637,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,0002-9629,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF SURGERY,0002-9610,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF SOCIOLOGY,0002-9602,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF SCIENCE,0002-9599,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF PHYSICS,0002-9505,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF PATHOLOGY,0002-9440,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,0002-9432,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF OPHTHALMOLOGY,0002-9394,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,0002-9378,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF MEDICINE,0002-9343,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF MATHEMATICS,0002-9327,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF EPIDEMIOLOGY,0002-9262,A1,Septiembre 2006 - Agosto 2007
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,0002-9254,A1,Septiembre 2006 - Agosto 2007
AMERICAN ECONOMIC REVIEW,0002-8282,A1,Septiembre 2006 - Agosto 2007
JOURNAL OF THE AMERICAN DIETETIC ASSOCIATION,0002-8223,A1,Septiembre 2006 - Agosto 2007
JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,0002-8177,A1,Septiembre 2006 - Agosto 2007
