journal,issn,category_publindex,year_publindex
COMMUNICATIONS OF THE ACM  ,0001-0782,A1,Septiembre 2007 - Diciembre 2008
AIAA JOURNAL  ,0001-1452,A1,Septiembre 2007 - Diciembre 2008
AICHE JOURNAL  ,0001-1541,A1,Septiembre 2007 - Diciembre 2008
AORN JOURNAL,0001-2092,B,Septiembre 2007 - Diciembre 2008
BOLETIN DE INVESTIGACIONES MARINAS Y COSTERAS,0001-2297,C,Septiembre 2007 - Diciembre 2008
ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE/,0001-2343,C,Septiembre 2007 - Diciembre 2008
TRANSACTIONS OF THE ASAE  ,0001-2351,A1,Septiembre 2007 - Diciembre 2008
ASHRAE JOURNAL  ,0001-2491,A2,Septiembre 2007 - Diciembre 2008
ASLIB PROCEEDINGS  ,0001-253X,A2,Septiembre 2007 - Diciembre 2008
TISSUE ANTIGENS  ,0001-2815,A1,Septiembre 2007 - Diciembre 2008
AWR BULLETIN,0001-2947,C,Septiembre 2007 - Diciembre 2008
SEMINARS IN NUCLEAR MEDICINE  ,0001-2998,A1,Septiembre 2007 - Diciembre 2008
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,0001-3072,A2,Septiembre 2007 - Diciembre 2008
REVISTA DE MICROBIOLOGIA ,0001-3714,A1,Septiembre 2007 - Diciembre 2008
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS  ,0001-3765,A1,Septiembre 2007 - Diciembre 2008
COMPTES RENDUS HEBDOMADAIRES DES SEANCES DE L'ACADEMIE DES SCIENCES  ,0001-4036,B,Septiembre 2007 - Diciembre 2008
BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE  ,0001-4079,A2,Septiembre 2007 - Diciembre 2008
"BULLETIN DE L'ACADEMIE POLONAISE DES SCIENCES, SERIE DES SCIENCES BIOLOGIQUES ",0001-4087,C,Septiembre 2007 - Diciembre 2008
BULLETIN DE L'ACADEMIE POLONAISE DES SCIENCES. SERIE DES SCIENCES DE LA TERRE  ,0001-4109,C,Septiembre 2007 - Diciembre 2008
BULLETIN DE L'ACADEMIE POLONAISE DES SCIENCES. SERIE DES SCIENCES TECHNIQUES ,0001-4125,C,Septiembre 2007 - Diciembre 2008
ACADEMIE ROYALE DE BELGIQUE. BULLETIN DE LA CLASSE DES SCIENCES. 6E SERIE,0001-4141,C,Septiembre 2007 - Diciembre 2008
