journal,issn,category_publindex,year_publindex
2D Materials,2053-1583,A1,2017
3D Printing and Additive Manufacturing,2329-7662,A1,2017
"3L: Language, Linguistics, Literature",0128-5157,A1,2017
4OR,1619-4500,A1,2017
4OR,1614-2411,A1,2017
AAC: Augmentative and Alternative Communication,0743-4618,A1,2017
AAC: Augmentative and Alternative Communication,1477-3848,A1,2017
AANA Journal,0094-6354,A1,2017
AAPG Bulletin,0149-1423,A1,2017
AAPG Memoir,0271-8529,A1,2017
AAPS Journal,1550-7416,A1,2017
AAPS PharmSciTech,1530-9932,A1,2017
AAPS PharmSciTech,1522-1059,A1,2017
Ab Imperio,2164-9731,A1,2017
Ab Imperio,2166-4072,A1,2017
Abdominal Radiology,2366-004X,A1,2017
Abdominal Radiology,2366-0058,A1,2017
Academic Emergency Medicine,1069-6563,A1,2017
Academic Medicine,1040-2446,A1,2017
Academic Pediatrics,1876-2859,A1,2017
Academic Pediatrics,1876-2867,A1,2017
Academic Radiology,1076-6332,A1,2017
Academy of Management Annals,1941-6520,A1,2017
Academy of Management Annals,1941-6067,A1,2017
Academy of Management Journal,0001-4273,A1,2017
Academy of Management Learning and Education,1537-260X,A1,2017
Academy of Management Perspectives,1558-9080,A1,2017
Academy of Management Perspectives,1943-4529,A1,2017
Academy of Management Review,0363-7425,A1,2017
Accident Analysis and Prevention,0001-4575,A1,2017
Accounting and Finance,0810-5391,A1,2017
Accounting History,1032-3732,A1,2017
Accounting History,1749-3374,A1,2017
Accounting History Review,2155-2851,A1,2017
Accounting History Review,2155-286X,A1,2017
Accounting Review,0001-4826,A1,2017
"Accounting, Auditing and Accountability Journal",0951-3574,A1,2017
"Accounting, Organizations and Society",0361-3682,A1,2017
Accounts of Chemical Research,0001-4842,A1,2017
Accounts of Chemical Research,1520-4898,A1,2017
ACI Materials Journal,0889-325X,A1,2017
ACI Structural Journal,0889-3241,A1,2017
ACM Computing Surveys,0360-0300,A1,2017
ACM Transactions on Algorithms,1549-6325,A1,2017
ACM Transactions on Computation Theory,1942-3454,A1,2017
ACM Transactions on Computational Logic,1529-3785,A1,2017
ACM Transactions on Computer Systems,0734-2071,A1,2017
ACM Transactions on Computer-Human Interaction,1073-0516,A1,2017
ACM Transactions on Computing Education,1946-6226,A1,2017
ACM Transactions on Graphics,0730-0301,A1,2017
ACM Transactions on Information and System Security,1094-9224,A1,2017
ACM Transactions on Information Systems,1046-8188,A1,2017
ACM Transactions on Intelligent Systems and Technology,2157-6904,A1,2017
ACM Transactions on Intelligent Systems and Technology,2157-6912,A1,2017
ACM Transactions on Knowledge Discovery from Data,1556-4681,A1,2017
ACM Transactions on Management Information Systems,2158-656X,A1,2017
ACM Transactions on Mathematical Software,0098-3500,A1,2017
"ACM Transactions on Multimedia Computing, Communications and Applications",1551-6857,A1,2017
ACM Transactions on Programming Languages and Systems,0164-0925,A1,2017
ACM Transactions on Sensor Networks,1550-4859,A1,2017
ACM Transactions on Software Engineering and Methodology,1049-331X,A1,2017
ACM Transactions on Storage,1553-3077,A1,2017
ACM Transactions on the Web,1559-1131,A1,2017
ACM Transactions on the Web,1559-114X,A1,2017
ACME,1492-9732,A1,2017
ACS Applied Materials & Interfaces,1944-8244,A1,2017
ACS Applied Materials & Interfaces,1944-8252,A1,2017
ACS Catalysis,2155-5435,A1,2017
ACS Central Science,2374-7943,A1,2017
ACS Chemical Biology,1554-8929,A1,2017
ACS Chemical Biology,1554-8937,A1,2017
ACS Chemical Neuroscience,1948-7193,A1,2017
ACS Combinatorial Science,2156-8952,A1,2017
ACS Combinatorial Science,2156-8944,A1,2017
ACS Infectious Diseases,2373-8227,A1,2017
ACS Macro Letters,2161-1653,A1,2017
ACS Medicinal Chemistry Letters,1948-5875,A1,2017
ACS Nano,1936-0851,A1,2017
ACS Nano,1936-086X,A1,2017
ACS Photonics,2330-4022,A1,2017
ACS Sustainable Chemistry & Engineering,2168-0485,A1,2017
ACS Synthetic Biology,2161-5063,A1,2017
Acta Acustica united with Acustica,1610-1928,A1,2017
Acta Anaesthesiologica Scandinavica,0001-5172,A1,2017
Acta Anaesthesiologica Scandinavica,1399-6576,A1,2017
Acta Astronautica,0094-5765,A1,2017
Acta Astronomica,0001-5237,A1,2017
Acta Biomaterialia,1742-7061,A1,2017
Acta Biotheoretica,0001-5342,A1,2017
Acta Biotheoretica,1572-8358,A1,2017
Acta Borealia,0800-3831,A1,2017
Acta Borealia,1503-111X,A1,2017
Acta Crystallographica Section A: Foundations and Advances,2053-2733,A1,2017
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",2052-5206,A1,2017
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",2052-5192,A1,2017
Acta Crystallographica Section D: Structural Biology,2059-7983,A1,2017
"Acta crystallographica. Section C, Structural chemistry",2053-2296,A1,2017
Acta Dermato-Venereologica,0001-5555,A1,2017
Acta Dermato-Venereologica,1651-2057,A1,2017
Acta Diabetologica,0940-5429,A1,2017
Acta Geotechnica,1861-1125,A1,2017
Acta Geotechnica,1861-1133,A1,2017
Acta Histriae,1318-0185,A1,2017
Acta Materialia,1359-6454,A1,2017
Acta Mathematica,0001-5962,A1,2017
Acta Mechanica,0001-5970,A1,2017
Acta Mechanica,1619-6937,A1,2017
Acta Metallurgica Sinica (English Letters),1006-7191,A1,2017
Acta Neurochirurgica,0001-6268,A1,2017
Acta Neurochirurgica,0942-0940,A1,2017
Acta Neuropathologica,0001-6322,A1,2017
Acta Neuropathologica,1432-0533,A1,2017
Acta neuropathologica communications,2051-5960,A1,2017
Acta Numerica,0962-4929,A1,2017
Acta Obstetricia et Gynecologica Scandinavica,0001-6349,A1,2017
Acta Obstetricia et Gynecologica Scandinavica,1600-0412,A1,2017
Acta Odontologica Scandinavica,0001-6357,A1,2017
Acta Odontologica Scandinavica,1502-3850,A1,2017
Acta Oncologica,0284-186X,A1,2017
Acta Oncologica,1651-226X,A1,2017
Acta Ophthalmologica,1755-375X,A1,2017
Acta Ophthalmologica,1755-3768,A1,2017
Acta Orthopaedica,1745-3674,A1,2017
Acta Orthopaedica,1745-3682,A1,2017
Acta Otorhinolaryngologica Italica,0392-100X,A1,2017
Acta Otorhinolaryngologica Italica,1827-675X,A1,2017
Acta Palaeontologica Polonica,0567-7920,A1,2017
Acta Pathologica Microbiologica et Immunologica Scandinavica - Supplementum,0903-465X,A1,2017
Acta Pathologica Microbiologica et Immunologica Scandinavica - Supplementum,1600-5503,A1,2017
Acta Pharmaceutica Sinica B,2211-3835,A1,2017
Acta Pharmaceutica Sinica B,2211-3843,A1,2017
