journal,issn,category_publindex,year_publindex
COMMUNICATIONS OF THE ACM,0001-0782; 1557-7317,A1,Enero 2024 - Junio 2024
AIAA JOURNAL,0001-1452; 1533-385X,A1,Enero 2024 - Junio 2024
AICHE JOURNAL,0001-1541; 1547-5905,A1,Enero 2024 - Junio 2024
SEMINARS IN NUCLEAR MEDICINE,0001-2998; 1558-4623,A1,Enero 2024 - Junio 2024
ACADEMY OF MANAGEMENT JOURNAL,0001-4273; 1948-0989,A1,Enero 2024 - Junio 2024
ACCIDENT ANALYSIS AND PREVENTION,0001-4575; 1879-2057,A1,Enero 2024 - Junio 2024
ACCOUNTING REVIEW,0001-4826; 1558-7967,A1,Enero 2024 - Junio 2024
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842; 1520-4898,A1,Enero 2024 - Junio 2024
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,0001-4966; 1520-8524,A1,Enero 2024 - Junio 2024
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172; 1399-6576,A1,Enero 2024 - Junio 2024
ACTA BIOTHEORETICA,0001-5342; 1572-8358,A1,Enero 2024 - Junio 2024
ACTA DERMATO VENEREOLOGICA,0001-5555; 1651-2057,A1,Enero 2024 - Junio 2024
None,Versión: 00,None,None
None,Fecha: 2020-07-08,None,None
None,Página: 1 de 1,None,None
ACTA MATHEMATICA,0001-5962; 1871-2509,A1,Enero 2024 - Junio 2024
ACTA NEUROCHIRURGICA,0001-6268; 0942-0940,A1,Enero 2024 - Junio 2024
ACTA NEUROLOGICA SCANDINAVICA,0001-6314; 1600-0404,A1,Enero 2024 - Junio 2024
ACTA NEUROPATHOLOGICA,0001-6322; 1432-0533,A1,Enero 2024 - Junio 2024
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349; 1600-0412,A1,Enero 2024 - Junio 2024
ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,0001-6446; 1588-2667,A1,Enero 2024 - Junio 2024
