supergroup,gran_area,OCDE_clasification_code,area
Life Sciences,Agricultural and Biological Sciences ,1100,General Agricultural and Biological Sciences
Life Sciences,Agricultural and Biological Sciences ,1101,Agricultural and Biological Sciences (miscellaneous)
Life Sciences,Agricultural and Biological Sciences ,1102,Agronomy and Crop Science
Life Sciences,Agricultural and Biological Sciences ,1103,Animal Science and Zoology
Life Sciences,Agricultural and Biological Sciences ,1104,Aquatic Science
Life Sciences,Agricultural and Biological Sciences ,1105,"Ecology, Evolution, Behavior and Systematics"
Life Sciences,Agricultural and Biological Sciences ,1106,Food Science
Life Sciences,Agricultural and Biological Sciences ,1107,Forestry
Life Sciences,Agricultural and Biological Sciences ,1108,Horticulture
Life Sciences,Agricultural and Biological Sciences ,1109,Insect Science
Life Sciences,Agricultural and Biological Sciences ,1110,Plant Science
Life Sciences,Agricultural and Biological Sciences ,1111,Soil Science
Social Sciences,Arts and Humanities ,1200,General Arts and Humanities
Social Sciences,Arts and Humanities ,1201,Arts and Humanities (miscellaneous)
Social Sciences,Arts and Humanities ,1202,History
Social Sciences,Arts and Humanities ,1203,Language and Linguistics
Social Sciences,Arts and Humanities ,1204,Archeology
Social Sciences,Arts and Humanities ,1205,Classics
Social Sciences,Arts and Humanities ,1206,Conservation
Social Sciences,Arts and Humanities ,1207,History and Philosophy of Science
Social Sciences,Arts and Humanities ,1208,Literature and Literary Theory
Social Sciences,Arts and Humanities ,1209,Museology
Social Sciences,Arts and Humanities ,1210,Music
Social Sciences,Arts and Humanities ,1211,Philosophy
Social Sciences,Arts and Humanities ,1212,Religious studies
Social Sciences,Arts and Humanities ,1213,Visual Arts and Performing Arts
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1300,"General Biochemistry, Genetics and Molecular Biology"
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1302,Aging
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1303,Biochemistry
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1304,Biophysics
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1305,Biotechnology
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1306,Cancer Research
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1307,Cell Biology
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1308,Clinical Biochemistry
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1309,Developmental Biology
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1310,Endocrinology
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1311,Genetics
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1312,Molecular Biology
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1313,Molecular Medicine
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1314,Physiology
Life Sciences,"Biochemistry, Genetics and Molecular Biology ",1315,Structural Biology
Social Sciences,"Business, Management and Accounting ",1400,"General Business, Management and Accounting"
Social Sciences,"Business, Management and Accounting ",1401,"Business, Management and Accounting (miscellaneous)"
Social Sciences,"Business, Management and Accounting ",1402,Accounting
Social Sciences,"Business, Management and Accounting ",1403,Business and International Management
Social Sciences,"Business, Management and Accounting ",1404,Management Information Systems
Social Sciences,"Business, Management and Accounting ",1405,Management of Technology and Innovation
Social Sciences,"Business, Management and Accounting ",1406,Marketing
Social Sciences,"Business, Management and Accounting ",1407,Organizational Behavior and Human Resource Management
Social Sciences,"Business, Management and Accounting ",1408,Strategy and Management
Social Sciences,"Business, Management and Accounting ",1409,"Tourism, Leisure and Hospitality Management"
Social Sciences,"Business, Management and Accounting ",1410,Industrial relations
Physical Sciences,Chemical Engineering ,1500,General Chemical Engineering
Physical Sciences,Chemical Engineering ,1501,Chemical Engineering (miscellaneous)
Physical Sciences,Chemical Engineering ,1502,Bioengineering
Physical Sciences,Chemical Engineering ,1503,Catalysis
